Coefficient,Odds Ratio,OR Lower CI,OR Upper CI,P-value,Variable
-0.19750049190733784,0.8207797368800501,0.7458930007403395,0.9031850088474094,5.209465530306413e-05,Engagement score of conditioning videos
-0.11484567143851701,0.8915037177770908,0.8374133097169318,0.949087946881369,0.0003228890154938282,Number of conditioning videos
,,,,,Conditioning metrics
0.07951403799578007,1.0827607592137207,1.0070550869312567,1.1641576284228639,0.031550141801421926,Comment count
0.05285163330051987,1.0542732144779114,0.9709981743534799,1.144690113867262,0.20805732263421095,Share count
-0.4145263309304209,0.6606531375608085,0.6086564222294375,0.7170918636991113,3.7278622653083194e-23,Likes per recommendation
0.19536415847475413,1.2157536328767478,1.1036785859921785,1.339209543985376,7.523006838415925e-05,Comments per recommendation
,,,,,Recommendation video metrics
-0.5312619087538855,0.5878626723687778,0.5029386409805051,0.6871266063208621,2.4955456349935806e-11,Verified channel
0.2907163227794268,1.3373851444327973,1.2363830127135267,1.4466383039540818,3.984081908421482e-13,Follower count
0.04728313291055299,1.048418808929621,0.9835331589999953,1.117585094980423,0.14689707865293153,Video count
,,,,,Recommendation channel metrics
-0.04942031633257521,0.9517809965152695,0.9430697115423539,0.9605727490134918,5.990991433036181e-26,Week of experiment
,,,,,Time
-0.04270061795631482,0.9581982144695538,0.8270809402878437,1.110101531167077,0.5695308050213803,Georgia
0.06454503299543406,1.0666736126710028,0.9204270428870677,1.2361572867304491,0.3909559266607011,Texas
,,,,,State (ref = NY)
1.0340355607742224,2.812392545550617,2.3204220634393806,3.4086694635824,5.658304328096785e-26,Democrat
,,,,,Bot conditioning (ref = Rep.)
