parm,estimate,p,p_corrected,stderr
Bot conditioning (ref = Rep.),,,,
Democrat,.3476656318853707,.0000108093989307,.0027777777777778,.0565850741790739
State (ref = NY),,,,
Texas,.0078134206649816,.5752227568032724,.0027777777777778,.0136747765493283
Georgia,.0219072883669403,.2047482572721163,.0027777777777778,.0166123634893383
Top account x Bot conditioning,,,,
Top account x Democrat bot,-.0720431018511154,6.00844633514e-06,.0027777777777778,.0111724641853452
Top account x Republican bot,-.0141710649860003,.2060711762399365,.0027777777777778,.0107789208391081
Conditioning metrics,,,,
Proportion of negative partisanship videos,.0572594747243605,.0274350515596599,.0027777777777778,.0237365036107245
Conditioning videos engagement score,-.0125002989516975,.2037046637762356,.0027777777777778,.0094561009055267
Number of conditioning videos watched,-.0218782890829748,.0441446726459104,.0027777777777778,.0100649182941463
Recommendation video metrics,,,,
Number of videos watched,-.001136573383585,.9191671112608836,.0027777777777778,.011034536345771
Transcript availability rate,.0039135592810733,.7785151230682016,.0027777777777778,.0136952949839492
Likes per recommendation,-.015235915681798,.1031346969473131,.0027777777777778,.0088456375203331
Comments per recommendation,-.0021413558825157,.9218677604792761,.0027777777777778,.0215108117692741
Opposing comment proportion,.1313069324311251,4.45990387609e-08,.0027777777777778,.0141241025456271
Video Length,-.022471070317287,.0627102108785883,.0027777777777778,.0112818966560063
Recommendation channel metrics,,,,
Video count,.019662420244319,.171456416443922,.0027777777777778,.0137709272306598
Follower count,.0218469891701248,.1311420812526199,.0027777777777778,.0137740665629425
Share count,-.0114031778482873,.4731380897978089,.0027777777777778,.0155423158837013
